y,age,educ,female,exp,yl1,yl2,yl3,yp1,yp2,owage2,owage1
1.435794,37,6,1,25,1.007654,0.9771916,1.003478,1.413959,1.427635,1.451821667,1.131594542
0.9363806,41,6,0,29,1.591919,2.31247,1.639907,1.244046,1.235638,1.338240055,1.438789298
1.841936,48,12,1,30,1.854814,1.846403,1.834985,1.865329,1.764414,1.916328346,2.158407187
2.690878,50,16,1,28,2.354742,2.340247,2.363947,2.688047,2.685057,1.342706877,1.341555379
1.199255,42,6,1,30,1.546252,1.387631,1.319403,1.193457,1.265803,1.210307752,1.469663989
1.137185,44,9,1,29,1.470325,1.424126,1.433169,1.240626,1.276428,1.340261032,1.518494881
1.006061,42,6,1,30,1.029083,1.04807,1.040547,0.998256,1.014911,1.357486019,1.264656567
1.011488,42,6,1,30,1.064414,1.074865,1.017509,0.9717994,1.018725,1.189499451,1.13521591
1.292623,41,6,1,29,1.285347,1.156016,1.150177,1.232405,1.192401,1.248852666,1.261814915
1.061646,41,6,1,29,1.217671,1.11073,1.104261,1.091213,1.084899,1.189394375,1.261158111
0.9593868,42,6,1,30,0.7887472,1.072274,1.104774,0.9597461,0.9607981,0.965029241,1.141534978
1.058939,41,6,1,29,1.394178,1.416878,1.440578,1.040176,1.029024,1.354416419,1.296494894
1.285938,41,6,1,29,1.631045,1.781024,1.825613,1.431907,1.440255,1.274076052,1.311055152
1.170964,40,6,1,28,1.069963,1.067358,1.099858,1.090037,1.05295,1.255570138,1.060885816
2.113943,43,9,1,28,2.159702,2.239508,2.262208,2.173038,2.210365,1.9330538,2.011321963
0.9715358,40,6,1,28,0.9719355,1.016968,1.020793,0.9660627,0.9658738,1.437841698,1.122027762
1.100524,41,6,1,29,1.060162,1.082636,1.070556,1.057716,1.080932,1.241697733,1.172067348
0.9893273,42,6,1,30,1.001827,0.9961607,1.035591,1.072898,1.049309,1.134623334,1.14466484
1.535399,39,6,1,27,0.8378175,0.8438483,0.8426231,0.8804656,1.590979,0.953798576,0.850589122
1.156467,38,6,1,26,1.061633,0.9608672,1.045236,1.125378,1.040176,1.144854631,1.029639877
0.8781034,42,6,1,30,1.32144,1.364085,1.486343,0.8014438,1.21032,1.369861077,1.457449758
1.472887,42,6,1,30,1.430156,1.355101,1.561988,1.698812,1.55455,1.547714031,1.472072524
1.72077,46,12,1,28,1.610434,1.502686,1.525386,1.69517,1.853404,1.971055545,1.381013399
0.980514,42,6,1,30,0.957434,0.9414796,0.9422483,0.9953021,1.019831,1.209166958,0.996856055
0.9893273,39,6,1,27,1.001827,0.9693813,1.035591,1.050517,1.026973,1.134623334,1.14466484
